text,label
Your car warranty is expiring—renew now: https://login-verify.example.net,1
Claim fuel cashback—enter card now: https://login-verify.example.net,1
Update payment or lose premium features: https://gift-now.example.org,1
Switched to a private channel for vendor access.,0
CLAIM your card upgrade—enter SSN: https://wallet-check.example.io,1
Please send the signed W-9 today.,0
Posting the incident report in the channel.,0
Draft OKR targets for Q1 are uploaded.,0
Fraud alert: freeze your card here: https://wallet-check.example.io,1
"Congratulations, you’re pre-approved! Low rates! https://login-verify.example.net",1
Urgent wire from CFO—approve immediately: https://wallet-check.example.io,1
Payment overdue—failure to pay will incur legal action: https://support-secure.example.app,1
Update payment or lose premium features: https://secure-update.example.com,1
Ticket assigned to you—P1 incident.,0
Re: re: FWD: FWD: earn big cash at home! https://gift-now.example.org,1
Unlock platinum rewards—just confirm PIN: https://support-secure.example.app,1
NEW iphone FREE—just pay shipping! https://gift-now.example.org,1
Here’s the corrected CSV delimiter version.,0
Team offsite scheduled for next Friday.,0
The contract counter-signed copy is attached.,0
Exclusive casino bonus: 400% match! https://secure-update.example.com,1
Your number will be deactivated—verify: https://secure-update.example.com,1
Preorder bonus—enter card to unlock: https://wallet-check.example.io,1
Security code: 725113—enter now: https://login-verify.example.net,1
Meet singles in your area tonight—free signup! https://login-verify.example.net,1
Please review the attached SOW and provide sign-off by Friday.,0
Lottery winner list—check your name here: https://wallet-check.example.io,1
Please test the failover plan this week.,0
Switched to a private channel for vendor access.,0
Claim fuel cashback—enter card now: https://gift-now.example.org,1
Update payment or lose premium features: https://wallet-check.example.io,1
I’ve added the KPI dashboard link to the wiki.,0
Apple ID locked—reset immediately: https://secure-update.example.com,1
SHOCKING secret doctors won’t tell you—read now! https://support-secure.example.app,1
Your PayPal has been limited—restore access here: https://support-secure.example.app,1
The catering order is confirmed for 8 attendees.,0
FREE BONUS spins—no deposit required! https://wallet-check.example.io,1
We’ll finalize the offboarding checklist.,0
I backed up the shared drive yesterday.,0
Update KYC in 24 hours to avoid lock: https://gift-now.example.org,1
Thanks for the quick turnaround on the bug fix!,0
Congratulations! Exclusive VIP access unlocked—click to enter! https://secure-update.example.com,1
Bank: verify card to prevent decline: https://wallet-check.example.io,1
Apple ID locked—reset immediately: https://support-secure.example.app,1
Meet singles in your area tonight—free signup! https://login-verify.example.net,1
I’ve prepared the brief for leadership.,0
Payment overdue—failure to pay will incur legal action: https://gift-now.example.org,1
Confirm your subscription to avoid interruption: https://wallet-check.example.io,1
Activate elite status—card details required: https://gift-now.example.org,1
Please test the iOS build on TestFlight.,0
I’ll publish the API reference later.,0
Thanks again for hosting the workshop yesterday.,0
We agreed to a 30-day net payment term.,0
See draft contract; mark your changes.,0
Update payment or lose premium features: https://login-verify.example.net,1
NEW iphone FREE—just pay shipping! https://wallet-check.example.io,1
Wire confirmation: send token to proceed: https://support-secure.example.app,1
The board pack is finalized—share with directors only.,0
We’ll groom the backlog this afternoon.,0
Suspicious attempt blocked—secure your wallet: https://support-secure.example.app,1
Update KYC to withdraw your funds: https://gift-now.example.org,1
See draft contract; mark your changes.,0
Schedule a call to unlock your prize: https://secure-update.example.com,1
The change request has been approved.,0
Outlook storage exceeded—upgrade now: https://login-verify.example.net,1
Please escalate if no response by noon.,0
Limited-time refinance at 70% APR—act now! https://secure-update.example.com,1
Please upload your timesheet by EOD.,0
I’ve re-run the pipeline; outputs attached.,0
Transfer pending: confirm beneficiary: https://wallet-check.example.io,1
Exclusive NFT mint allowlist—join now: https://support-secure.example.app,1
Suspicious attempt blocked—secure your wallet: https://wallet-check.example.io,1
Wire confirmation: send token to proceed: https://wallet-check.example.io,1
Congrats on the promotion! Drinks are on me.,0
Passport copy received; HR will proceed with onboarding.,0
Download gift: secure link expires soon: https://wallet-check.example.io,1
Update your Microsoft 365 password here to prevent expiration: https://login-verify.example.net,1
Reminder: Submit timesheets by end of day.,0
CLAIM your card upgrade—enter SSN: https://login-verify.example.net,1
Congratulations! Exclusive VIP access unlocked—click to enter! https://login-verify.example.net,1
Win a MacBook Pro—take our 30-second survey! https://support-secure.example.app,1
Travel request approved—book flights before prices rise.,0
Security alert: 3 failed login attempts—verify it’s you: https://support-secure.example.app,1
Thanks for coordinating agendas.,0
See draft contract; mark your changes.,0
Notes from the partner call are attached.,0
I’ll iterate on the Figma prototype tonight.,0
Please upload your timesheet by EOD.,0
Please review the attached SOW and provide sign-off by Friday.,0
QA signed off; ready to push to production.,0
Thanks again for hosting the workshop yesterday.,0
Debt relief program—act before midnight! https://wallet-check.example.io,1
Transfer pending: confirm beneficiary: https://wallet-check.example.io,1
